timestamp,wind_infeed_mw,corridor_flow_mw,static_rating_mva,dlr_capacity_mva,curtailment_static_mw,curtailment_dlr_mw,redispatch_cost_static_eur,redispatch_cost_dlr_eur
2026-08-05 05:00:00,45.0,33.27,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 06:00:00,45.0,44.25,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 07:00:00,45.0,46.4,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 08:00:00,45.0,59.84,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 09:00:00,45.0,64.13,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 10:00:00,45.0,67.2,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 11:00:00,45.0,73.75,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 12:00:00,45.0,74.3,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 13:00:00,45.0,71.38,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 14:00:00,45.0,69.53,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 15:00:00,45.0,63.26,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 16:00:00,49.63,57.55,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 17:00:00,75.61,50.88,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 18:00:00,59.72,44.55,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 19:00:00,69.61,30.41,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 20:00:00,72.36,29.89,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 21:00:00,68.19,15.08,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 22:00:00,92.02,13.91,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-05 23:00:00,93.08,12.37,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 00:00:00,97.15,10.72,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 01:00:00,86.29,9.91,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 02:00:00,107.91,13.8,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 03:00:00,86.67,18.07,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 04:00:00,104.3,24.26,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 05:00:00,118.05,34.78,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 06:00:00,91.63,41.92,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 07:00:00,94.26,47.96,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 08:00:00,98.19,59.21,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 09:00:00,90.99,64.72,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 10:00:00,79.49,71.12,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 11:00:00,89.38,74.03,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 12:00:00,76.03,71.95,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 13:00:00,84.17,71.39,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 14:00:00,67.7,71.0,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 15:00:00,82.71,65.4,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 16:00:00,57.78,57.24,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 17:00:00,55.66,49.72,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 18:00:00,58.93,43.89,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 19:00:00,45.0,31.76,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 20:00:00,45.0,26.59,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 21:00:00,45.0,18.64,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 22:00:00,45.0,13.74,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-06 23:00:00,45.0,13.37,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 00:00:00,45.0,11.78,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 01:00:00,45.0,12.79,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 02:00:00,45.0,16.85,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 03:00:00,45.0,19.1,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 04:00:00,45.0,26.87,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 05:00:00,45.0,32.34,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 06:00:00,45.0,41.87,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 07:00:00,45.0,49.2,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 08:00:00,45.0,57.52,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 09:00:00,45.0,65.42,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 10:00:00,45.0,67.56,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 11:00:00,45.0,77.4,75.0,123.75,2.4,0.0,384.64,0.0
2026-08-07 12:00:00,45.0,71.61,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 13:00:00,45.0,70.01,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 14:00:00,45.0,71.95,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 15:00:00,45.0,65.85,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 16:00:00,45.0,58.67,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 17:00:00,45.0,50.83,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 18:00:00,45.0,41.16,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 19:00:00,45.0,31.12,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 20:00:00,45.0,25.61,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 21:00:00,45.0,17.67,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 22:00:00,45.59,16.17,75.0,123.75,0.0,0.0,0.0,0.0
2026-08-07 23:00:00,60.65,10.86,75.0,123.75,0.0,0.0,0.0,0.0
